customerID,name,city,state,dob,age,pan,aadhaar,voter_id,passport,pan_aadhaar_linked
101,Amit Mehta,Chennai,Tamil Nadu,17-03-1969,57,FODLT9535S,453123672603.00,P3O5K51WNF,,Yes
102,Sneha Gupta,Bangalore,Karnataka,24-10-1975,50,UFWNF9865V,819921425894.00,ITYGJJ83FN,VOMJM33X,No
103,Arjun Mehta,Chennai,Tamil Nadu,03-08-2001,24,TSAJD9112E,19507235.00,IY248MK0OA,H0WE9FUE,Yes
104,Deepak Kapoor,Pune,Maharashtra,02-04-1969,57,EUNVB4365I,30078838855.00,1W69A0V9PL,CHOWPHXY,No
105,Manish Gupta,Pune,Maharashtra,03-01-1965,61,UWROX9812O,142980996820.00,MPVYX9MFAZ,,Yes
106,Ravi Kaur,Bangalore,Karnataka,26-12-1981,44,LEBTM5908Z,004665782922,8SIPSP9NJI,3M28SI9H,Yes
107,Ravi Kapoor,Delhi,Delhi,16-11-1988,37,ZDDTR5306H,,BI8FZSXO5H,,Yes
108,Meena Iyer,Chennai,Tamil Nadu,10-02-1982,44,ITMGK7870V,,FE9VNZHZCR,,Yes
109,Vikas Kaur,Bangalore,Karnataka,14-12-1988,37,SBPAS0505A,,,85W17DZ0,Yes
110,Manish Iyer,Pune,Maharashtra,29-09-1983,42,GYXCZ4839T,15963800951.00,,,No
111,Karan Kumar,Bangalore,Karnataka,23-10-1981,44,ZLKEW7366I,984255650114.00,2WJRI86F3T,,Yes
112,Rohit Nair,Pune,Maharashtra,22-07-1965,60,OuPWmlN1,512162917501.00,DOODVUA6EK,,Yes
113,Divya Gupta,Delhi,Delhi,05-06-1978,47,CJPUS3121V,964326135516.00,,A8BBTVFV,Yes
114,Karan Nair,Mumbai,Maharashtra,27-12-1967,58,NDIQI0878P,000878287580,MHL4ZTFRKT,BSTEVD1V,No
115,Divya Nair,Chennai,Tamil Nadu,06-02-1981,45,YENTH1348K,453740835039.00,,,No
116,Vikas Kumar,Mumbai,Maharashtra,18-03-1990,36,GDTSN9447U,240446791753.00,KDUWJC4QW2,X8BAWQYF,No
117,Manish Iyer,Pune,Maharashtra,10-04-1988,37,OLMYD4280R,552289488813.00,V5PLRJIYDV,7KOJBAZ6,No
118,Ankit Kaur,Pune,Maharashtra,20-06-1992,33,WUXJH4999L,751070035031.00,T25329N7X2,,No
119,Ashish Kumar,Delhi,Delhi,18-01-2003,23,,434903160714.00,1XHOC4NX5P,,No
120,Ravi Sharma,Bangalore,Karnataka,11-08-1989,36,JLKJP5869J,209176232328.00,YYVAV2NORP,,Yes
121,Kavya Kumar,Delhi,Delhi,25-07-2003,22,EQEGV3415F,080118676452,,HE3YYFUJ,No
122,Divya Verma,Chennai,Tamil Nadu,20-03-1976,50,WDZNE7158B,797176604503.00,,KFNWIBFS,No
123,Ritika Verma,Mumbai,Maharashtra,13-07-1973,52,BNHGV3686W,017589061293,,464KU77X,No
124,Arjun Singh,Chennai,Tamil Nadu,23-05-1986,39,YIb7F8zn,,0BSQAG6XSO,,Yes
125,Rahul Mehta,Pune,Maharashtra,12-08-1988,37,XZMEP2249L,,,,Yes
126,Kavya Gupta,Bangalore,Karnataka,28-08-1988,37,PGMSS8354B,310203300795.00,,,No
127,Neha Iyer,Chennai,Tamil Nadu,21-09-1968,57,JQKBN1821T,,JQMXS4XPFH,J9HT6L75,Yes
